ID_ATIV_ECON_ESTABELECIMENTO;LATITUDE;LONGITUDE
17;-19.9039838;-43.9362663
32;-19.8463158;-43.9737447
235;-19.9401445;-43.9253339
112;-19.9048955;-43.9772403
124;-19.8895928;-43.9485873
208;-19.929932;-43.9431301
309;-19.9383675;-43.9373885
503;-19.936342;-43.968268
532;-19.897581;-43.9573627
714;-19.8903695;-43.9282191
764;-19.9154655;-43.9029501
796;-19.9294049;-43.9754197
832;-19.9297262;-43.9304761
1034;-19.9589334;-44.0017603
1036;-20.00629;-44.0100157
922;-19.9182726;-43.9340936
1067;-19.9168667;-43.9879003
1082;-19.9732009;-44.0141918
1358;-19.8431885;-43.9565294
1272;-19.9353545;-43.9359405
1394;-19.924245;-43.9442116
1480;-19.9520203;-43.9273581
1650;-19.9150376;-43.9408267
1657;-19.8221025;-43.9525014
1662;-19.9322006;-43.9332462
1666;-19.843783;-43.9990189
1675;-19.9902015;-44.0008435
1705;-19.9281198;-43.9473471
1727;-19.961688;-43.9735719
1759;-19.8748642;-43.9143952
1786;-19.9272193;-43.9630253
2087;-19.9342918;-43.9343377
2285;-19.9542777;-43.9501682
2286;-19.9542777;-43.9501682
2239;-19.9464226;-43.9282453
2261;-19.9325301;-43.9531975
2510;-19.9304595;-43.9471758
2356;-19.8902883;-43.9678891
2400;-19.9606858;-43.9784281
2418;-19.8937008;-43.9362949
2465;-19.910216;-43.960267
4918;-19.9185571;-43.9378025
5016;-19.9115369;-43.9420357
4654;-19.9118032;-43.9310893
4665;-19.8460286;-43.9765992
4388;-19.9396287;-43.9320731
4395;-19.9318662;-43.9240776
4399;-19.9280206;-43.9236003
4404;-19.971031;-43.9516745
4409;-19.9281198;-43.9473471
4087;-19.9264701;-43.9226777
4748;-19.925814;-43.9404836
4769;-19.9201934;-43.948757
4135;-19.9262416;-43.9196543
4145;-19.925814;-43.9404836
4487;-19.9281198;-43.9473471
4514;-19.8893148;-43.9230211
4192;-19.9055354;-43.9771792
4529;-19.9209687;-43.976747
4530;-19.9398984;-43.9318961
4861;-19.9185448;-43.9314327
4558;-19.9298142;-43.9482856
4565;-19.9281198;-43.9473471
3901;-19.9334519;-43.9334767
3378;-19.9522963;-43.9379594
3731;-19.9378158;-43.9368155
2696;-19.9132278;-43.9409232
3051;-19.9294049;-43.9754197
3389;-19.9142953;-43.9886957
3752;-19.8260795;-43.9821302
3753;-19.9053668;-43.9898573
2722;-19.9272193;-43.9630253
3424;-19.9113697;-43.9079098
3760;-19.8306947;-43.9387567
2780;-19.8879155;-43.9258501
3496;-19.9162948;-43.9182816
3497;-19.9162948;-43.9182816
3499;-19.9385467;-43.9479064
3800;-19.9092202;-43.9339006
3817;-19.9533701;-43.930688
3211;-19.9453214;-43.9305151
3541;-19.969302;-43.9622804
3244;-19.9451248;-43.9304617
2560;-19.9249386;-43.9202307
3279;-19.9361105;-43.9454043
3290;-19.9223659;-43.9963246
3291;-19.9051342;-44.0068782
3295;-19.9387786;-43.9386171
3672;-19.8743441;-43.9261621
3687;-19.9118032;-43.9310893
3699;-19.8460286;-43.9765992
3018;-19.9209687;-43.976747
6983;-19.9150366;-43.9420377
6988;-19.9017691;-43.9211809
7007;-19.9259192;-43.9354585
7015;-19.9475492;-43.9312652
6695;-19.9306253;-43.9754612
7880;-19.9281198;-43.9473471
7396;-19.8983639;-43.9446915
6781;-19.9358377;-43.9396468
7111;-19.926466;-43.958381
7121;-19.9372147;-43.9324923
7149;-19.9108898;-43.9089846
6831;-19.9182295;-43.9397663
6832;-19.9121006;-43.9582332
6861;-19.8700576;-43.9797512
6869;-19.9386192;-43.9336176
7507;-19.925667;-43.9492259
7210;-19.9276828;-43.9353034
7221;-19.923849;-43.9514012
6599;-19.9323242;-43.9588372
6948;-19.9469379;-43.9488773
5719;-19.948763;-43.9612647
5723;-19.9276333;-43.9280034
6432;-19.9493059;-43.9273932
6463;-19.9688919;-43.9645118
5785;-19.9422675;-43.9211123
6128;-19.9398984;-43.9318961
6474;-19.9343836;-43.9429006
5804;-19.9140903;-43.9867487
6516;-19.9269644;-43.9336373
6525;-19.8373712;-43.9480678
5836;-19.9163621;-43.9244363
6573;-19.8679391;-44.0027496
5850;-19.9162429;-43.9278764
6200;-19.9216978;-43.9386879
6201;-19.9136125;-43.9139257
6207;-19.9264701;-43.9226777
6496;-19.9426941;-43.9354543
5517;-19.9384716;-43.9342575
6217;-19.9264109;-43.94889
6552;-19.9216978;-43.9386879
5537;-19.9362825;-43.9281041
5898;-19.8511453;-43.9632373
5230;-19.9240706;-43.9673882
5591;-19.9245986;-43.927008
5606;-19.8594398;-43.9494517
6351;-19.9084384;-43.9986218
5311;-19.8902883;-43.9678891
5657;-19.9268109;-43.9510964
6033;-19.9084384;-43.9986218
6394;-19.8192239;-43.9801314
10015;-19.9384716;-43.9342575
10016;-19.9307;-43.9334858
10049;-19.971031;-43.9516745
9413;-19.9407141;-43.9342101
10553;-19.930083;-43.9570285
10508;-19.9182295;-43.9397663
10561;-19.9746598;-43.9769735
9531;-19.8988167;-43.9231518
10186;-19.926466;-43.958381
10187;-19.926466;-43.958381
9892;-19.9179127;-43.9728035
9906;-19.9298101;-43.9567296
9958;-19.8343673;-43.9384583
8486;-19.924245;-43.9442116
8842;-19.8840408;-43.9463907
8178;-19.9337402;-43.9500772
8198;-19.9428826;-43.9294365
8620;-19.9125933;-43.9394474
8964;-19.9262416;-43.9196543
7948;-19.9434134;-43.9483373
7952;-19.8893562;-44.0075201
8658;-19.9378158;-43.9368155
8666;-19.8271418;-43.9681457
9015;-19.9216978;-43.9386879
8369;-19.9496586;-43.9344962
8378;-19.9264701;-43.9226777
9080;-19.928111;-43.9596885
9096;-19.9352663;-43.9567921
12009;-19.9352484;-43.9410098
13161;-19.7859359;-43.9490128
13079;-19.8119817;-43.9616761
12954;-19.9244718;-43.9194456
12826;-19.9473302;-43.9544083
12857;-19.8357109;-43.965338
13005;-19.8025842;-43.9708571
12876;-19.9426941;-43.9354543
12260;-19.9391832;-43.9410763
11444;-19.9247161;-43.9375956
11135;-19.9142953;-43.9886957
11483;-19.8530076;-43.9558805
11506;-19.9331375;-44.009757
11524;-19.8199704;-43.8913103
11837;-19.8719031;-43.987103
10876;-19.9043845;-43.9503003
11566;-19.8516988;-43.9596153
10912;-19.8977845;-43.961239
10914;-19.8715572;-43.9950758
11253;-19.9430067;-43.9382702
11259;-19.913295;-43.9181048
11588;-19.9429289;-43.9263302
10578;-19.8519534;-43.912707
10596;-19.9248849;-43.9471081
10933;-19.9375617;-43.9594066
11283;-19.9380708;-43.9422176
11614;-19.9442899;-43.9407124
10611;-19.9281357;-43.9314227
11637;-19.8630917;-43.9597997
11638;-19.8630917;-43.9597997
10996;-19.9208142;-43.9369612
11339;-19.8151636;-43.9561285
11011;-19.9434484;-43.9567156
11358;-19.937306;-43.9472329
11023;-19.9017691;-43.9211809
11031;-19.918203;-43.9393937
11039;-19.8070283;-43.9804371
11051;-19.9079972;-43.9835693
11402;-19.9269037;-43.9523924
10736;-19.8900183;-44.0009465
15266;-19.8741165;-43.9883188
15277;-19.9392106;-43.9311759
15281;-19.925814;-43.9404836
14627;-19.9167419;-43.932403
15292;-19.9331468;-43.9267326
14655;-19.8541789;-43.9165837
14994;-19.8713761;-43.9865191
14666;-19.8116722;-43.9408124
15344;-19.8526533;-43.9271284
15347;-19.9084384;-43.9986218
15348;-19.8655341;-43.9831013
14727;-19.928828;-43.9440502
15071;-19.9150376;-43.9408267
15411;-19.8542101;-43.8907103
15106;-19.9435634;-43.925382
14788;-19.9524107;-43.9313009
15450;-19.9334519;-43.9334767
15484;-19.9308719;-43.9950081
15196;-19.915841;-43.9275689
15514;-19.9390626;-44.0233368
14859;-19.9154221;-43.9431634
15528;-19.9425929;-43.9424838
15220;-19.9075065;-43.8943475
15226;-19.9435392;-43.9496401
15232;-19.9354207;-43.9369552
15240;-19.9304115;-43.9513723
14041;-19.9490275;-43.9251943
14048;-19.972979;-43.9373734
13381;-19.8931966;-43.9091749
13386;-19.9226105;-43.940276
13387;-19.9369203;-43.9240751
14435;-19.9358885;-43.9310989
13780;-19.841838;-44.0097746
14452;-19.9128467;-43.8934809
14496;-19.9226105;-43.940276
13829;-19.9403317;-43.9253539
14148;-19.9274167;-43.9771468
13482;-19.9274923;-43.9301419
13870;-19.9382063;-43.9411433
13538;-19.8910177;-43.9356757
13550;-19.9571651;-43.9659182
13930;-19.9274866;-43.9471836
13270;-19.969302;-43.9622804
13612;-19.9281198;-43.9473471
13975;-19.9298142;-43.9482856
13633;-19.9137197;-44.0046992
13653;-19.9327796;-43.9417401
13661;-19.9687109;-43.9810183
14341;-19.9615408;-43.9462266
14345;-19.8292634;-43.9770421
17692;-19.9248849;-43.9471081
17702;-19.9300404;-43.9526961
17706;-19.917892;-43.938262
17722;-19.9294386;-43.9571399
17392;-19.9233531;-43.939773
18047;-19.9177559;-43.91091
18051;-19.9386961;-43.9384201
18052;-19.9398984;-43.9318961
18459;-19.8900183;-44.0009465
18510;-19.9604404;-43.9845801
18513;-19.8758891;-43.9975744
17795;-19.929932;-43.9431301
18599;-19.9236654;-43.9440039
17535;-19.9795508;-44.0279461
17893;-19.9295083;-43.9473777
17557;-19.8279214;-43.9629688
18219;-19.9786436;-44.0485452
18227;-19.8741165;-43.9883188
18374;-19.9106279;-43.9572131
17586;-19.9390626;-44.0233368
18253;-19.9637996;-43.949628
17627;-19.925814;-43.9404836
17305;-19.9225815;-43.9430243
17658;-19.9378835;-43.9446586
17990;-19.9295217;-43.9659775
17999;-19.8192323;-43.9519494
16478;-19.8529476;-43.9599784
16820;-19.9085096;-43.9240903
16827;-19.8438703;-43.9214687
16130;-19.9225815;-43.9430243
17182;-19.9257052;-43.9223823
17183;-19.9319508;-43.9209454
16161;-19.9158524;-43.9105711
16163;-19.9387593;-43.9395336
16183;-19.9253573;-43.9486157
16186;-19.9016406;-44.0239021
17293;-19.9758686;-44.0173857
16930;-19.921128;-43.9239648
16934;-19.9220057;-43.9400589
16242;-19.9740672;-44.0212982
17271;-19.9250301;-43.93764
16298;-19.9356453;-43.9284123
17042;-19.9067703;-43.9442086
17044;-19.9273375;-43.9868954
17045;-19.9209965;-43.9761991
17046;-19.8966437;-43.9126656
16010;-19.9057636;-43.9455982
16024;-19.9765872;-43.9773697
16737;-19.9314287;-43.9399339
16742;-19.9378158;-43.9368155
16744;-19.9289066;-43.9549839
17085;-19.9586297;-43.9500656
17089;-19.9202994;-43.9465816
16417;-19.9158595;-43.9344473
16078;-19.9185571;-43.9378025
20009;-19.9142953;-43.9886957
20371;-19.9018775;-43.9827862
20686;-19.9226105;-43.940276
20687;-19.8817337;-43.9774541
21082;-19.9358377;-43.9396468
20049;-19.9264005;-43.9518031
20052;-19.9314906;-43.9441206
20053;-19.9741447;-43.9354604
20055;-19.9314906;-43.9441206
20089;-19.8885616;-43.9329863
20431;-19.9237726;-43.9067129
21108;-19.9407141;-43.9342101
21124;-19.9565487;-43.9576764
20147;-19.9162218;-43.9142033
20480;-19.9073082;-43.9336173
20497;-19.9182295;-43.9397663
21242;-19.9425929;-43.9424838
20172;-19.9547913;-43.9595811
21132;-19.8903695;-43.9282191
20202;-19.9295524;-44.0003203
20555;-19.9150666;-43.9421408
21012;-19.9291465;-43.9243387
20245;-19.9310087;-43.9556946
19967;-19.9093894;-43.8972664
20634;-19.9473302;-43.9544083
20334;-19.9254786;-43.9500059
19164;-19.9820245;-43.9777458
19483;-19.9255879;-43.9238805
19824;-19.9291876;-43.9295187
19837;-19.945113;-43.917706
18867;-19.9363019;-43.9239093
19901;-19.9085363;-44.002571
19905;-19.9672335;-43.9635733
19906;-19.9590499;-43.9682657
19251;-19.9740672;-44.0212982
19946;-19.9659397;-43.9803299
18905;-19.9291465;-43.9243387
18911;-19.9182295;-43.9397663
19271;-19.9352663;-43.9567921
19589;-19.9456523;-43.9295759
19893;-19.905749;-43.971639
